cenario;arquivo;linha;tempo_s;politica;tarefa;jobs;misses;miss_pct;exec_min_us;exec_avg_us;exec_max_us;resp_min_us;resp_avg_us;resp_max_us;lat_inicio_max_us;jitter_avg_us;jitter_max_us;cpu_pct;evento_us;inicio_us;fim_us
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;63;25.012;CUSTOM;CTRL_ATT;4980;0;0.0;447;450.7;514;1127;1141.3;1430;916;23.9;235;9.256;25055556;25056234;25056686
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;64;25.012;CUSTOM;NAV_PLAN;12;0;0.0;5;2522.9;7414;15;2541.5;7424;65;13.5;56;0.284;24364069;24364078;24364084
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;65;25.012;CUSTOM;FAIL_SAFE;1;0;0.0;1339;1339.0;1339;1347;1347.0;1347;8;0.0;0;0.03;22863822;22863830;22865169
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;67;30.012;CUSTOM;FUS_IMU;6001;17;0.283;666;678.2;995;179;310.1;5825;5153;432.1;5153;13.567;30056043;30055556;30056224
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;68;30.012;CUSTOM;CTRL_ATT;5977;0;0.0;447;450.7;514;1127;1139.3;1430;916;20.2;235;9.257;30055556;30056234;30056686
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;69;30.012;CUSTOM;NAV_PLAN;12;0;0.0;5;2522.9;7414;15;2541.5;7424;65;13.5;56;0.0;24364069;24364078;24364084
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;70;30.012;CUSTOM;FAIL_SAFE;1;0;0.0;1339;1339.0;1339;1347;1347.0;1347;8;0.0;0;0.0;22863822;22863830;22865169
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;71;35.012;CUSTOM;FUS_IMU;7001;19;0.271;666;676.8;995;179;307.2;5825;5153;431.1;5153;13.566;35056043;35056135;35056807
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;72;35.012;CUSTOM;CTRL_ATT;6974;0;0.0;447;450.6;514;1127;1137.9;1430;916;17.6;235;9.255;35056135;35056818;35057265
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;73;35.012;CUSTOM;NAV_PLAN;12;0;0.0;5;2522.9;7414;15;2541.5;7424;65;13.5;56;0.0;24364069;24364078;24364084
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;74;35.012;CUSTOM;FAIL_SAFE;1;0;0.0;1339;1339.0;1339;1347;1347.0;1347;8;0.0;0;0.0;22863822;22863830;22865169
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;20;5.0;DM;FUS_IMU;1000;0;0.0;2027;2030.0;2124;1923;1926.2;2129;5;103.9;105;41.178;5042136;5042032;5044060
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;21;5.0;DM;CTRL_ATT;1000;0;0.0;1352;1353.9;1419;3410;3415.0;3665;2246;2.6;180;27.926;5042032;5044090;5045443
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;22;5.0;DM;NAV_PLAN;3;1;33.333;4;20118.7;60332;1609;22486.3;63411;3079;711.3;1474;0.441;4503924;4505529;4505533
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;23;5.0;DM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.003;0;0;0
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;31;10.0;DM;FUS_IMU;2000;0;0.0;2027;2057.5;2395;1923;1953.6;2291;5;103.9;105;42.273;10042136;10042032;10044391
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;32;10.0;DM;CTRL_ATT;2000;0;0.0;1352;1353.6;1419;3410;3442.0;3795;2425;57.5;363;27.849;10042032;10044422;10045774
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;33;10.0;DM;NAV_PLAN;5;2;40.0;4;25101.6;65148;1609;26859.4;65171;3079;1071.2;1640;0.395;9864181;9865844;9865848
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;34;10.0;DM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;38;15.0;DM;FUS_IMU;3000;0;0.0;2027;2075.5;2395;1923;1971.6;2291;5;103.9;105;42.805;15042136;15042032;15044427
05;05_DM_PREEMPTIVO_80MHz_UNICORE.txt;39;15.0;DM;CTRL_ATT;3000;0;0.0;1352;1353.5;1419;3410;3459.9;3795;2425;93.8;366;27.901;15042032;15044457;15045827
